Country,VIKOR 2020,VIKOR 2021,VIKOR 2022,T-VIKOR
United States,17,18,19,20
Austria,2,1,1,1
Belgium,10,2,3,3
Bulgaria,21,25,24,24
Czechia,6,4,5,5
Denmark,20,20,23,23
Finland,18,10,16,14
France,9,6,7,7
Germany,1,3,2,2
Greece,19,16,14,12
Hungary,13,14,15,15
Ireland,22,19,20,19
Italy,24,22,21,21
Lithuania,3,7,6,6
Luxembourg,7,9,10,10
Netherlands,14,15,17,17
Norway,8,8,9,9
Poland,12,17,18,18
Portugal,16,13,11,11
Romania,15,23,12,13
Slovakia,5,11,13,16
Slovenia,11,12,8,8
Spain,23,21,22,22
Sweden,25,26,26,26
Switzerland,4,5,4,4
United Kingdom,26,24,25,25
